Date,IDX
2007-01-03,100.90059661865234
2007-01-04,101.1147232055664
2007-01-05,100.30818939208984
2007-01-08,100.77210235595703
2007-01-09,100.68648529052734
2007-01-10,101.02191925048828
2007-01-11,101.46446228027344
2007-01-12,102.23526763916016
2007-01-16,102.03540802001953
2007-01-17,102.07823944091797
2007-01-18,101.73564910888672
2007-01-19,101.93551635742188
2007-01-22,101.6214599609375
2007-01-23,101.92122650146484
2007-01-24,102.74199676513672
2007-01-25,101.53580474853516
2007-01-26,101.44302368164062
2007-01-29,101.38592529296875
2007-01-30,101.91407775878906
2007-01-31,102.59925842285156
2007-02-01,103.21308135986328
2007-02-02,103.3558120727539
2007-02-05,103.3843765258789
2007-02-06,103.4129409790039
2007-02-07,103.64134216308594
2007-02-08,103.5057144165039
2007-02-09,102.7348403930664
2007-02-12,102.38518524169922
2007-02-13,103.24878692626953
2007-02-14,103.92686462402344
2007-02-15,104.06244659423828
2007-02-16,104.01244354248047
2007-02-20,104.23372650146484
2007-02-21,104.1908950805664
2007-02-22,104.11238861083984
2007-02-23,103.7055435180664
2007-02-26,103.61274719238281
2007-02-27,99.5658950805664
2007-02-28,100.58653259277344
2007-03-01,100.2867660522461
2007-03-02,98.97347259521484
2007-03-05,98.03140258789062
2007-03-06,99.70864868164062
2007-03-07,99.60871124267578
2007-03-08,100.45093536376953
2007-03-09,100.47949981689453
2007-03-12,100.62938690185547
2007-03-13,98.67374420166016
2007-03-14,99.40888977050781
2007-03-15,99.54449462890625
2007-03-16,99.26575469970703
2007-03-19,100.4623794555664
2007-03-20,101.01417541503906
2007-03-21,102.67660522460938
2007-03-22,102.5977783203125
2007-03-23,102.7482681274414
2007-03-26,102.61209106445312
2007-03-27,102.36846923828125
2007-03-28,101.62325286865234
2007-03-29,101.73076629638672
2007-03-30,101.7521743774414
2007-04-02,101.86688995361328
2007-04-03,102.96320343017578
2007-04-04,103.0779037475586
2007-04-05,103.35730743408203
2007-04-09,103.5006332397461
2007-04-10,103.62246704101562
2007-04-11,103.19964599609375
2007-04-12,103.6583023071289
2007-04-13,104.1312255859375
2007-04-16,105.12007904052734
2007-04-17,105.3995361328125
2007-04-18,105.52852630615234
2007-04-19,105.49983215332031
2007-04-20,106.49588012695312
2007-04-23,106.09458923339844
2007-04-24,106.1375961303711
2007-04-25,107.11214447021484
2007-04-26,107.23397064208984
2007-04-27,107.14797973632812
2007-04-30,106.25941467285156
2007-05-01,106.53172302246094
2007-05-02,107.15512084960938
2007-05-03,107.73553466796875
2007-05-04,108.14397430419922
2007-05-07,108.1655044555664
2007-05-08,108.02220916748047
2007-05-09,108.31594848632812
2007-05-10,107.18376922607422
2007-05-11,108.10100555419922
2007-05-14,107.86451721191406
2007-05-15,107.89320373535156
2007-05-16,108.63127136230469
2007-05-17,108.41631317138672
2007-05-18,109.3621597290039
2007-05-21,109.30481719970703
2007-05-22,109.21884155273438
2007-05-23,109.23316955566406
2007-05-24,108.24427032470703
2007-05-25,108.69574737548828
2007-05-29,109.08985900878906
2007-05-30,109.97837829589844
2007-05-31,109.86376953125
2007-06-01,110.40833282470703
2007-06-04,110.4227066040039
2007-06-05,109.98558807373047
2007-06-06,108.80322265625
2007-06-07,106.83982849121094
2007-06-08,108.2300033569336
2007-06-11,108.41631317138672
2007-06-12,107.23397064208984
2007-06-13,108.83907318115234
2007-06-14,109.53411865234375
2007-06-15,110.15736389160156
2007-06-18,110.0278091430664
2007-06-19,110.30127716064453
2007-06-20,108.76842498779297
2007-06-21,109.3729476928711
2007-06-22,108.34380340576172
2007-06-25,107.82566833496094
2007-06-26,106.71739196777344
2007-06-27,108.23587799072266
2007-06-28,108.22148895263672
2007-06-29,108.25745391845703
2007-07-02,109.23619842529297
2007-07-03,109.6319808959961
2007-07-05,109.51687622070312
2007-07-06,110.09254455566406
2007-07-09,110.17897033691406
2007-07-10,108.61006927490234
2007-07-11,109.3801498413086
2007-07-12,111.10723876953125
2007-07-13,111.43832397460938
2007-07-16,111.42391204833984
2007-07-17,111.36636352539062
2007-07-18,111.16484832763672
2007-07-19,111.59669494628906
2007-07-20,110.4668197631836
2007-07-23,110.80502319335938
2007-07-24,108.88358306884766
2007-07-25,109.10663604736328
2007-07-26,106.5230941772461
2007-07-27,104.42889404296875
2007-07-30,106.06253051757812
2007-07-31,104.867919921875
2007-08-01,105.37884521484375
2007-08-02,106.22081756591797
2007-08-03,103.48612976074219
2007-08-06,105.22051239013672
2007-08-07,106.34323120117188
2007-08-08,107.82566833496094
2007-08-09,104.63037109375
2007-08-10,104.14108276367188
2007-08-13,104.51526641845703
2007-08-14,102.9176254272461
2007-08-15,101.4999008178711
2007-08-16,102.26277923583984
2007-08-17,104.14108276367188
2007-08-20,104.09062957763672
2007-08-21,104.29938507080078
2007-08-22,105.5371322631836
2007-08-23,105.4435806274414
2007-08-24,106.74617767333984
2007-08-27,105.7530746459961
2007-08-28,103.42859649658203
2007-08-29,105.4580078125
2007-08-30,105.17731475830078
2007-08-31,106.2136459350586
2007-09-04,107.2859115600586
2007-09-05,106.3575668334961
2007-09-06,106.60228729248047
2007-09-07,105.11976623535156
2007-09-10,104.91824340820312
2007-09-11,106.14169311523438
2007-09-12,106.41515350341797
2007-09-13,107.16358184814453
2007-09-14,107.1563720703125
2007-09-17,106.58065032958984
2007-09-18,109.71837615966797
2007-09-19,110.36602020263672
2007-09-20,109.5888442993164
2007-09-21,109.88455200195312
2007-09-24,109.68211364746094
2007-09-25,109.46520233154297
2007-09-26,110.04365539550781
2007-09-27,110.69439697265625
